 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
263.665,316.06,36.9062,321.847,327.354,18.5648,293.037,509.148,93.9918,287.082,447.032,73.4602,323.316,448.014,34.9698,318.422,517.534,52.1824,240.353,585.774,27.8685,307.014,576.519,67.8688,269.857,582.468,157.675,249.103,599.329,204.201,236.612,612.263,246.753,258.002,644.498,237.119,268.657,635.069,195.296,283.064,621.279,148.653,170.53,743.07,341.689,139.773,641.442,323.176,157.745,667.533,359.042,1.40553,615.714,287.004,2.15458,625.598,316.177,45.7332,625.114,314.15,46.5496,613.246,285.868
263.662,316.06,36.9035,321.846,327.353,18.5662,293.034,509.15,93.9941,287.081,447.033,73.4608,323.296,448.002,34.97,318.423,517.533,52.1841,240.359,585.774,27.8668,307.015,576.52,67.872,269.858,582.469,157.677,249.101,599.327,204.201,236.63,612.236,246.772,258.002,644.493,237.121,268.664,635.069,195.306,283.092,621.283,148.702,170.531,743.071,341.693,139.774,641.444,323.175,157.745,667.536,359.042,1.42579,615.708,287.02,2.15449,625.596,316.179,45.7378,625.113,314.153,46.5628,613.249,285.875
263.664,316.06,36.9063,321.847,327.352,18.5683,293.041,509.153,94.0037,287.081,447.033,73.4626,323.297,447.998,34.9708,318.425,517.535,52.1867,240.355,585.774,27.871,307.017,576.533,67.8911,269.859,582.469,157.679,249.102,599.328,204.204,236.627,612.234,246.774,258.005,644.489,237.128,268.67,635.066,195.313,283.091,621.281,148.693,170.533,743.073,341.692,139.774,641.446,323.177,157.744,667.538,359.042,1.42987,615.71,287.022,2.1569,625.597,316.182,45.7401,625.113,314.155,46.5603,613.252,285.873
263.664,316.06,36.906,321.848,327.353,18.5682,293.044,509.152,94.0079,287.082,447.032,73.4642,323.297,447.997,34.973,318.479,517.394,52.1886,240.365,585.776,27.8781,307.02,576.534,67.8946,269.86,582.467,157.682,249.102,599.329,204.206,236.602,612.25,246.765,258.008,644.489,237.131,268.672,635.065,195.318,283.093,621.281,148.694,170.535,743.078,341.693,139.774,641.45,323.177,157.745,667.541,359.044,1.4292,615.712,287.026,2.15874,625.597,316.184,45.7402,625.117,314.154,46.5604,613.253,285.872
263.661,316.059,36.9016,321.848,327.352,18.5692,293.044,509.149,94.0121,287.083,447.032,73.4668,323.299,447.997,34.9795,318.427,517.533,52.1931,240.37,585.779,27.8829,307.018,576.519,67.8763,269.861,582.468,157.687,249.101,599.329,204.211,236.602,612.251,246.77,258.004,644.489,237.134,268.684,635.052,195.328,283.095,621.277,148.701,170.522,743.09,341.693,139.79,641.456,323.169,157.746,667.546,359.046,1.43062,615.713,287.028,2.16164,625.602,316.184,45.7458,625.123,314.157,46.5648,613.254,285.878
263.664,316.06,36.9062,321.848,327.352,18.5704,293.071,509.135,94.0264,287.06,446.991,73.5741,323.3,447.996,34.9829,318.481,517.394,52.1965,240.372,585.78,27.8892,307.019,576.518,67.8784,269.87,582.457,157.694,249.102,599.334,204.215,236.601,612.259,246.774,258.011,644.492,237.139,268.687,635.051,195.333,283.091,621.274,148.697,170.524,743.096,341.697,139.777,641.457,323.178,157.748,667.551,359.049,1.43182,615.717,287.03,2.16508,625.603,316.193,45.7734,625.128,314.176,46.5656,613.259,285.877
263.661,316.059,36.903,321.849,327.351,18.5728,293.074,509.133,94.0321,287.049,446.981,73.6115,323.32,448.017,35.0226,318.481,517.392,52.2013,240.373,585.781,27.8934,307.022,576.517,67.8846,269.864,582.469,157.694,249.101,599.338,204.219,236.601,612.264,246.778,258.012,644.497,237.144,268.69,635.053,195.338,283.095,621.273,148.707,170.525,743.104,341.7,139.778,641.464,323.186,157.751,667.586,359.057,1.42759,615.723,287.043,2.16529,625.605,316.195,45.7754,625.135,314.178,46.5626,613.265,285.878
263.665,316.061,36.9079,321.85,327.351,18.5738,293.074,509.132,94.0356,287.046,446.981,73.6261,323.308,447.999,34.9953,318.492,517.397,52.2252,240.377,585.783,27.9004,307.021,576.516,67.8856,269.872,582.457,157.701,249.102,599.324,204.242,236.609,612.274,246.781,258.011,644.504,237.145,268.691,635.055,195.341,283.095,621.272,148.716,170.518,743.114,341.701,139.779,641.473,323.188,157.754,667.592,359.061,1.4303,615.723,287.044,2.16767,625.609,316.197,45.7502,625.139,314.165,46.5628,613.27,285.876
263.664,316.06,36.907,321.849,327.351,18.5737,293.076,509.13,94.0404,287.051,446.989,73.638,323.32,448.008,35.0414,318.492,517.397,52.2309,240.35,585.777,27.9157,307.015,576.51,67.8862,269.874,582.459,157.706,249.093,599.324,204.238,236.611,612.288,246.777,257.989,644.57,237.195,268.693,635.059,195.349,283.091,621.272,148.711,170.52,743.121,341.702,139.778,641.479,323.188,157.757,667.602,359.063,1.43231,615.727,287.046,2.16797,625.611,316.2,45.7511,625.144,314.168,46.5665,613.267,285.88
263.666,316.061,36.9082,321.851,327.35,18.5756,293.076,509.129,94.0438,287.096,447.035,73.4856,323.324,448.011,35.051,318.486,517.39,52.2241,240.38,585.778,27.9025,307.021,576.516,67.8915,269.876,582.459,157.727,249.096,599.329,204.241,236.611,612.293,246.779,257.993,644.578,237.199,268.682,635.076,195.342,283.095,621.274,148.716,170.52,743.13,341.704,139.777,641.487,323.192,157.758,667.607,359.063,1.43009,615.732,287.049,2.16937,625.612,316.203,45.7799,625.153,314.186,46.5666,613.271,285.884
263.666,316.061,36.9091,321.851,327.35,18.5766,293.077,509.129,94.0469,287.053,446.988,73.6416,323.327,448.011,35.0542,318.494,517.397,52.2403,240.384,585.784,27.9064,307.015,576.511,67.8917,269.837,582.513,157.62,249.098,599.336,204.247,236.614,612.301,246.782,257.987,644.581,237.192,268.683,635.083,195.342,283.09,621.274,148.721,170.521,743.138,341.707,139.784,641.498,323.185,157.753,667.615,359.068,1.43134,615.734,287.052,2.17017,625.616,316.202,45.778,625.16,314.185,46.5675,613.273,285.885
263.665,316.061,36.9097,321.851,327.35,18.5785,293.08,509.128,94.051,287.063,446.979,73.6343,323.325,448.01,35.0537,318.487,517.387,52.2317,240.385,585.782,27.9068,307.015,576.511,67.8948,269.869,582.472,157.728,249.106,599.346,204.259,236.63,612.298,246.794,258.017,644.613,237.211,268.681,635.091,195.347,283.089,621.274,148.719,170.52,743.145,341.706,139.772,641.502,323.196,157.76,667.624,359.07,1.43383,615.742,287.049,2.17176,625.618,316.206,45.7541,625.164,314.169,46.5689,613.281,285.884
263.665,316.061,36.9091,321.852,327.349,18.5802,293.081,509.129,94.054,287.06,446.97,73.6261,323.327,448.007,35.0606,318.488,517.388,52.2344,240.386,585.789,27.9099,307.014,576.51,67.8944,269.871,582.475,157.732,249.11,599.353,204.263,236.631,612.305,246.795,257.993,644.601,237.2,268.679,635.098,195.343,283.086,621.275,148.718,170.521,743.152,341.708,139.781,641.509,323.191,157.757,667.629,359.073,1.43072,615.749,287.051,2.16987,625.622,316.203,45.7803,625.17,314.187,46.5704,613.287,285.882
263.666,316.062,36.9104,321.851,327.349,18.5803,293.083,509.129,94.0548,287.055,446.987,73.649,323.328,448.007,35.062,318.49,517.387,52.2384,240.392,585.789,27.913,307.016,576.511,67.898,269.87,582.476,157.732,249.112,599.361,204.264,236.641,612.315,246.799,258.007,644.636,237.202,268.678,635.107,195.343,283.084,621.277,148.715,170.52,743.159,341.708,139.781,641.516,323.192,157.76,667.635,359.075,1.42911,615.755,287.047,2.16946,625.623,316.203,45.7777,625.175,314.182,46.5667,613.291,285.878
263.665,316.061,36.9091,321.852,327.348,18.5822,293.084,509.131,94.0595,287.064,446.977,73.6378,323.326,448.006,35.066,318.487,517.388,52.2393,240.389,585.788,27.9136,307.015,576.511,67.9006,269.91,582.494,157.727,249.113,599.365,204.264,236.64,612.32,246.8,257.973,644.628,237.183,268.671,635.143,195.339,283.083,621.28,148.719,170.516,743.162,341.706,139.769,641.522,323.204,157.753,667.653,359.073,1.42984,615.759,287.047,2.16781,625.627,316.2,45.7437,625.191,314.167,46.5645,613.291,285.877
263.663,316.06,36.9072,321.853,327.348,18.5829,293.085,509.131,94.0611,287.062,446.978,73.6388,323.328,448.006,35.0647,318.486,517.387,52.2398,240.392,585.787,27.9114,307.015,576.51,67.8984,269.831,582.539,157.631,249.118,599.374,204.261,236.64,612.327,246.797,257.975,644.633,237.182,268.669,635.153,195.336,283.084,621.284,148.718,170.513,743.165,341.703,139.776,641.525,323.194,157.751,667.656,359.072,1.42574,615.763,287.041,2.16639,625.63,316.198,45.7423,625.195,314.163,46.5615,613.294,285.874
263.665,316.059,36.9112,321.853,327.347,18.5836,293.084,509.131,94.0617,287.063,446.978,73.6379,323.325,448.005,35.068,318.487,517.388,52.2414,240.388,585.796,27.9107,307.014,576.51,67.8999,269.91,582.506,157.716,249.118,599.38,204.26,236.638,612.329,246.797,258.003,644.659,237.191,268.666,635.158,195.33,283.082,621.289,148.716,170.512,743.169,341.701,139.802,641.571,323.214,157.751,667.66,359.071,1.42531,615.768,287.04,2.15725,625.632,316.194,45.7388,625.199,314.158,46.5567,613.305,285.865
263.665,316.061,36.9088,321.853,327.346,18.5844,293.082,509.129,94.0567,287.059,446.961,73.6295,323.319,448.01,35.0699,318.486,517.388,52.2413,240.386,585.79,27.9102,307.013,576.51,67.8986,269.91,582.503,157.71,249.117,599.383,204.256,236.635,612.333,246.79,257.967,644.633,237.171,268.658,635.165,195.323,283.079,621.293,148.713,170.511,743.171,341.69,139.79,641.576,323.219,157.751,667.664,359.065,1.42649,615.769,287.027,2.15975,625.632,316.188,45.7373,625.203,314.154,46.5593,613.301,285.865
263.664,316.061,36.9083,321.852,327.348,18.582,293.08,509.13,94.0538,287.054,446.969,73.6233,323.317,448.01,35.0687,318.482,517.386,52.2378,240.384,585.791,27.9033,307.011,576.512,67.8955,269.867,582.567,157.599,249.108,599.379,204.243,236.63,612.336,246.786,257.995,644.663,237.183,268.655,635.169,195.32,283.074,621.298,148.702,170.506,743.172,341.684,139.785,641.577,323.211,157.747,667.663,359.064,1.40321,615.78,287.007,2.14676,625.639,316.18,45.7354,625.209,314.147,46.5508,613.309,285.855
263.663,316.061,36.9068,321.853,327.348,18.5823,293.077,509.13,94.0502,287.055,446.977,73.6315,323.32,448.012,35.0659,318.487,517.396,52.2448,240.383,585.792,27.8981,307.011,576.511,67.8942,269.864,582.574,157.591,249.106,599.38,204.241,236.619,612.334,246.774,257.96,644.636,237.162,268.651,635.173,195.314,283.074,621.302,148.698,170.502,743.172,341.679,139.779,641.58,323.205,157.747,667.666,359.058,1.39902,615.783,287.001,2.13925,625.642,316.172,45.7312,625.214,314.139,46.5478,613.316,285.848
263.664,316.061,36.9087,321.85,327.349,18.5797,293.075,509.132,94.0455,287.053,446.978,73.6282,323.317,448.01,35.0523,318.479,517.388,52.2273,240.381,585.795,27.8944,307.006,576.512,67.8884,269.863,582.575,157.588,249.102,599.381,204.233,236.61,612.335,246.764,257.985,644.662,237.173,268.643,635.171,195.302,283.066,621.302,148.686,170.499,743.172,341.674,139.785,641.586,323.186,157.739,667.663,359.051,1.3922,615.793,286.986,2.13683,625.646,316.164,45.7291,625.218,314.132,46.5436,613.319,285.84
263.665,316.062,36.9095,321.849,327.35,18.5773,293.073,509.133,94.0418,287.051,446.98,73.6239,323.3,447.993,35.0177,318.474,517.39,52.2214,240.373,585.79,27.8828,307.005,576.515,67.8855,269.857,582.578,157.577,249.098,599.383,204.216,236.599,612.337,246.755,257.979,644.662,237.17,268.642,635.169,195.296,283.062,621.307,148.681,170.497,743.174,341.668,139.77,641.586,323.19,157.736,667.665,359.043,1.38777,615.794,286.98,2.12215,625.657,316.156,45.7314,625.239,314.105,46.5406,613.324,285.831
263.663,316.061,36.9069,321.85,327.351,18.5768,293.045,509.147,94.0255,287.05,446.984,73.6188,323.312,448.015,35.0395,318.421,517.533,52.2096,240.368,585.787,27.8734,307.002,576.516,67.8811,269.852,582.581,157.57,249.102,599.393,204.22,236.589,612.338,246.742,257.97,644.658,237.159,268.638,635.172,195.289,283.055,621.311,148.669,170.494,743.174,341.66,139.743,641.553,323.142,157.733,667.664,359.037,1.38377,615.798,286.959,2.1084,625.661,316.131,45.7244,625.242,314.094,46.5329,613.336,285.81
263.663,316.061,36.9075,321.848,327.351,18.5726,293.04,509.15,94.0171,287.05,446.992,73.5731,323.291,448.007,34.994,318.415,517.536,52.1966,240.361,585.784,27.8613,306.998,576.517,67.8767,269.838,582.58,157.55,249.095,599.393,204.211,236.58,612.338,246.733,257.939,644.637,237.145,268.632,635.172,195.279,283.052,621.314,148.673,170.488,743.174,341.652,139.723,641.556,323.114,157.729,667.66,358.997,1.38386,615.8,286.931,2.0938,625.666,316.124,45.7306,625.253,314.085,46.5312,613.338,285.797
263.662,316.061,36.907,321.847,327.353,18.5727,293.042,509.151,94.0102,287.065,447.037,73.4766,323.285,448.009,34.9858,318.411,517.537,52.1897,240.358,585.784,27.8482,306.996,576.519,67.8695,269.837,582.596,157.511,249.086,599.394,204.2,236.562,612.339,246.72,257.951,644.651,237.144,268.617,635.169,195.256,283.046,621.317,148.666,170.484,743.172,341.642,139.705,641.552,323.114,157.725,667.661,358.988,1.38218,615.805,286.921,2.09814,625.671,316.112,45.7236,625.254,314.075,46.531,613.362,285.778
263.663,316.062,36.9079,321.844,327.354,18.5691,293.037,509.154,94.0007,287.063,447.038,73.4721,323.282,448.014,34.981,318.406,517.537,52.1818,240.344,585.784,27.8407,306.993,576.522,67.8639,269.788,582.581,157.507,249.08,599.405,204.165,236.555,612.339,246.71,257.905,644.631,237.12,268.611,635.172,195.244,283.042,621.32,148.653,170.484,743.174,341.638,139.706,641.564,323.085,157.722,667.661,358.979,1.37427,615.82,286.91,2.08446,625.672,316.101,45.7136,625.26,314.058,46.5252,613.364,285.768
263.663,316.064,36.9087,321.843,327.355,18.5658,293.022,509.158,93.9922,287.059,447.038,73.4699,323.278,448.016,34.9706,318.404,517.54,52.1769,240.332,585.777,27.8239,306.99,576.526,67.8566,269.822,582.602,157.489,249.075,599.405,204.155,236.543,612.341,246.697,257.871,644.65,237.073,268.604,635.173,195.233,283.034,621.322,148.64,170.476,743.179,341.61,139.688,641.568,323.081,157.723,667.663,358.964,1.3712,615.823,286.893,2.07839,625.678,316.091,45.7121,625.264,314.049,46.5202,613.371,285.75
263.659,316.061,36.9024,321.842,327.356,18.565,293.016,509.161,93.9834,287.057,447.038,73.4665,323.271,448.016,34.9639,318.384,517.552,52.1604,240.299,585.779,27.8261,306.985,576.527,67.8481,269.771,582.59,157.479,249.055,599.405,204.138,236.523,612.341,246.675,257.862,644.642,237.06,268.603,635.187,195.197,283.033,621.324,148.635,170.469,743.18,341.599,139.68,641.572,323.065,157.719,667.664,358.953,1.36425,615.825,286.881,2.07421,625.684,316.08,45.7039,625.277,314.027,46.5179,613.385,285.736
263.656,316.06,36.9015,321.842,327.357,18.5635,293.007,509.163,93.973,287.055,447.037,73.461,323.266,448.023,34.9534,318.37,517.542,52.1347,240.309,585.766,27.7926,306.982,576.531,67.8421,269.752,582.59,157.447,249.019,599.398,204.093,236.525,612.356,246.65,257.871,644.629,237.073,268.578,635.166,195.14,282.887,621.248,148.31,170.468,743.183,341.589,139.656,641.578,323.041,157.716,667.663,358.943,1.36034,615.835,286.868,2.0667,625.688,316.067,45.7028,625.286,314.013,46.511,613.39,285.723
263.658,316.063,36.9031,321.839,327.358,18.5593,293.008,509.176,93.9313,287.044,447.045,73.4412,323.261,448.027,34.9447,318.362,517.543,52.1261,240.276,585.764,27.7883,306.968,576.526,67.8203,269.741,582.591,157.429,249.01,599.403,204.08,236.507,612.355,246.631,257.89,644.654,237.079,268.571,635.172,195.126,283.02,621.334,148.621,170.462,743.186,341.577,139.65,641.587,323.026,157.696,667.675,358.921,1.35585,615.848,286.859,2.06025,625.704,316.045,45.6934,625.293,314,46.5456,613.39,285.669
263.655,316.061,36.8999,321.837,327.361,18.5558,293.007,509.185,93.9091,287.046,447.035,73.4512,323.255,448.031,34.9402,318.355,517.545,52.1185,240.269,585.772,27.7643,306.963,576.53,67.8139,269.731,582.597,157.413,249.004,599.406,204.056,236.497,612.362,246.613,257.855,644.632,237.054,268.562,635.175,195.108,283.029,621.341,148.635,170.46,743.187,341.555,139.64,641.597,323.005,157.68,667.682,358.899,1.35506,615.856,286.85,2.0567,625.71,316.036,45.6892,625.3,313.99,46.4966,613.407,285.698
263.667,316.081,36.8916,321.836,327.362,18.5549,292.997,509.189,93.8962,287.037,447.045,73.4329,323.251,448.032,34.9297,318.348,517.546,52.1104,240.26,585.772,27.7532,306.959,576.534,67.806,269.698,582.618,157.389,249.002,599.396,203.993,236.479,612.358,246.582,257.848,644.634,237.044,268.558,635.185,195.08,282.825,621.262,148.214,170.454,743.19,341.543,139.642,641.61,322.975,157.669,667.684,358.88,1.35614,615.865,286.835,2.05665,625.737,316.016,45.689,625.309,313.967,46.5456,613.408,285.623
263.656,316.064,36.9016,321.833,327.363,18.5508,292.986,509.191,93.8783,287.038,447.038,73.4213,323.245,448.036,34.923,318.329,517.549,52.0951,240.242,585.77,27.7331,306.955,576.539,67.8013,269.686,582.624,157.372,248.994,599.4,203.981,236.476,612.375,246.565,257.846,644.631,237.048,268.55,635.201,195.073,282.793,621.264,148.165,170.452,743.196,341.535,139.625,641.617,322.972,157.668,667.698,358.862,1.35297,615.879,286.825,2.04943,625.747,316.006,45.6858,625.322,313.947,46.4923,613.435,285.652
263.666,316.084,36.8914,321.832,327.365,18.5481,292.978,509.196,93.8684,287.031,447.038,73.4248,323.236,448.039,34.9123,318.319,517.549,52.0834,240.226,585.773,27.721,306.866,576.584,67.6439,269.677,582.633,157.359,248.987,599.406,203.97,236.465,612.401,246.54,257.866,644.637,236.956,268.537,635.21,195.044,282.786,621.273,148.151,170.459,743.201,341.537,139.601,641.64,322.935,157.66,667.705,358.847,1.33938,615.891,286.82,2.04624,625.76,315.981,45.6931,625.337,313.928,46.4845,613.452,285.641
263.665,316.083,36.8903,321.83,327.366,18.5455,292.97,509.199,93.8572,287.028,447.039,73.421,323.23,448.043,34.9065,318.313,517.556,52.0657,240.217,585.775,27.7098,306.852,576.588,67.6269,269.663,582.64,157.336,248.977,599.409,203.955,236.459,612.41,246.525,257.87,644.651,236.915,268.5,635.2,194.984,282.696,621.339,148.026,170.429,743.194,341.506,139.596,641.649,322.917,157.667,667.706,358.824,1.35257,615.925,286.777,2.05505,625.774,315.965,45.6867,625.347,313.917,46.4814,613.46,285.635
263.672,316.097,36.9,321.829,327.366,18.5448,292.957,509.21,93.8298,287.023,447.047,73.4098,323.225,448.046,34.9001,318.298,517.56,52.0571,240.197,585.77,27.6983,306.842,576.597,67.6151,269.694,582.666,157.317,248.969,599.417,203.944,236.454,612.422,246.51,257.862,644.661,236.904,268.493,635.211,194.967,282.644,621.348,147.943,170.427,743.2,341.497,139.596,641.724,322.898,157.677,667.721,358.806,1.33579,615.941,286.777,2.03772,625.788,315.959,45.6862,625.359,313.911,46.4749,613.478,285.622
263.665,316.085,36.8918,321.827,327.368,18.5418,292.944,509.214,93.8176,287.02,447.037,73.4119,323.212,448.048,34.8909,318.286,517.56,52.049,240.187,585.777,27.6834,306.831,576.603,67.6021,269.647,582.659,157.312,248.941,599.447,203.994,236.448,612.433,246.497,257.858,644.676,236.891,268.505,635.245,194.999,282.621,621.359,147.907,170.415,743.21,341.472,139.586,641.743,322.882,157.667,667.734,358.789,1.33054,615.963,286.765,2.04906,625.798,315.95,45.6791,625.379,313.904,46.4705,613.491,285.612
263.665,316.085,36.8915,321.825,327.369,18.5412,292.932,509.217,93.8071,287.014,447.045,73.4019,323.205,448.052,34.8835,318.278,517.56,52.0413,240.157,585.736,27.6205,306.819,576.61,67.5907,269.645,582.698,157.279,248.938,599.461,203.982,236.439,612.444,246.483,257.855,644.698,236.884,268.497,635.257,194.986,282.577,621.378,147.841,170.412,743.218,341.463,139.579,641.753,322.87,157.666,667.741,358.777,1.34206,615.975,286.755,2.04232,625.824,315.94,45.6797,625.395,313.899,46.4531,613.521,285.601
263.666,316.086,36.8913,321.824,327.37,18.5381,292.921,509.221,93.7941,287.01,447.044,73.3976,323.199,448.057,34.8801,318.267,517.562,52.0323,240.144,585.738,27.609,306.804,576.621,67.5922,269.68,582.725,157.261,248.934,599.476,203.969,236.42,612.457,246.457,257.854,644.709,236.861,268.484,635.28,194.949,282.405,621.487,147.527,170.417,743.234,341.461,139.572,641.768,322.859,157.655,667.757,358.753,1.32624,615.991,286.754,2.04226,625.837,315.932,45.6738,625.416,313.877,46.5109,613.538,285.542
263.659,316.083,36.8879,321.824,327.368,18.5395,292.912,509.225,93.7845,287.002,447.031,73.3941,323.181,448.064,34.8554,318.252,517.561,52.0184,240.093,585.79,27.6073,306.76,576.646,67.5747,269.669,582.746,157.241,248.93,599.491,203.962,236.41,612.481,246.447,257.848,644.722,236.849,268.479,635.294,194.944,282.392,621.495,147.514,170.412,743.243,341.448,139.562,641.781,322.849,157.652,667.775,358.738,1.33716,616.018,286.742,2.0372,625.853,315.921,45.6686,625.452,313.861,46.445,613.549,285.582
263.66,316.083,36.8885,321.822,327.37,18.5376,292.901,509.234,93.7679,286.998,447.039,73.3863,323.174,448.065,34.8511,318.241,517.561,52.0112,240.068,585.776,27.5778,306.745,576.651,67.5616,269.658,582.755,157.226,248.925,599.505,203.954,236.404,612.492,246.437,257.831,644.734,236.815,268.471,635.303,194.932,282.387,621.497,147.513,170.409,743.253,341.438,139.552,641.797,322.835,157.647,667.785,358.723,1.33765,616.038,286.726,2.02451,625.866,315.906,45.6703,625.463,313.853,46.4414,613.566,285.568
263.661,316.085,36.8892,321.821,327.372,18.5371,292.892,509.237,93.7586,286.993,447.03,73.3883,323.171,448.07,34.8499,318.234,517.563,52.0057,240.049,585.77,27.5722,306.711,576.644,67.5456,269.654,582.765,157.22,248.923,599.523,203.943,236.393,612.516,246.423,257.824,644.753,236.801,268.468,635.318,194.921,282.368,621.501,147.49,170.396,743.267,341.386,139.539,641.82,322.815,157.639,667.795,358.712,1.33623,616.054,286.72,2.02216,625.877,315.898,45.6644,625.478,313.84,46.497,613.61,285.509
263.657,316.082,36.8876,321.824,327.372,18.5394,292.884,509.24,93.7539,286.989,447.028,73.384,323.161,448.072,34.846,318.221,517.561,51.9986,240.035,585.789,27.5823,306.691,576.649,67.5365,269.65,582.778,157.212,248.908,599.538,203.928,236.389,612.531,246.417,257.817,644.779,236.794,268.451,635.327,194.905,282.361,621.506,147.487,170.394,743.279,341.372,139.528,641.837,322.805,157.618,667.807,358.678,1.32933,616.058,286.726,2.01735,625.885,315.89,45.6563,625.496,313.818,46.4816,613.631,285.489
263.657,316.083,36.8879,321.821,327.372,18.5393,292.877,509.242,93.7491,286.983,447.026,73.381,323.153,448.072,34.8441,318.211,517.563,51.9933,240.015,585.817,27.5687,306.677,576.651,67.5255,269.625,582.822,157.161,248.903,599.557,203.918,236.384,612.551,246.407,257.772,644.799,236.748,268.463,635.333,194.898,282.352,621.508,147.483,170.385,743.299,341.363,139.52,641.847,322.794,157.608,667.816,358.665,1.32523,616.072,286.717,2.01241,625.899,315.881,45.6458,625.507,313.809,46.4126,613.633,285.526
263.654,316.082,36.8866,321.821,327.373,18.5384,292.867,509.245,93.7433,286.979,447.026,73.3772,323.146,448.075,34.8377,318.202,517.562,51.9869,239.999,585.823,27.5649,306.665,576.657,67.5194,269.64,582.842,157.155,248.897,599.586,203.913,236.377,612.565,246.399,257.757,644.813,236.719,268.455,635.34,194.892,282.322,621.519,147.462,170.377,743.31,341.353,139.513,641.858,322.788,157.599,667.825,358.653,1.32106,616.091,286.71,2.00813,625.909,315.875,45.6497,625.522,313.799,46.4827,613.665,285.445
263.654,316.082,36.8862,321.819,327.374,18.5363,292.858,509.248,93.7322,286.966,447.029,73.3746,323.136,448.078,34.8353,318.188,517.566,51.9801,239.989,585.813,27.5441,306.653,576.661,67.5122,269.636,582.853,157.155,248.876,599.605,203.887,236.358,612.611,246.386,257.745,644.832,236.702,268.444,635.345,194.882,282.316,621.521,147.46,170.367,743.32,341.341,139.502,641.871,322.779,157.592,667.835,358.64,1.30602,616.111,286.698,1.97962,625.951,315.867,45.6448,625.561,313.778,46.4781,613.682,285.435
263.651,316.081,36.8849,321.818,327.375,18.5358,292.849,509.251,93.7265,286.961,447.026,73.3701,323.13,448.079,34.8338,318.166,517.564,51.9674,239.971,585.823,27.5498,306.636,576.664,67.4984,269.633,582.861,157.152,248.859,599.632,203.873,236.347,612.624,246.379,257.735,644.849,236.685,268.428,635.333,194.864,282.31,621.524,147.457,170.358,743.332,341.331,139.489,641.879,322.761,157.559,667.863,358.589,1.30049,616.128,286.688,1.96758,625.967,315.852,45.638,625.578,313.77,46.5042,613.818,285.455
263.651,316.081,36.8838,321.815,327.376,18.5335,292.843,509.255,93.7214,286.956,447.024,73.3654,323.121,448.082,34.8278,318.181,517.521,52.0549,239.954,585.824,27.5399,306.626,576.667,67.4905,269.628,582.868,157.15,248.855,599.653,203.865,236.339,612.638,246.369,257.718,644.863,236.672,268.423,635.336,194.86,282.302,621.525,147.453,170.36,743.352,341.333,139.483,641.892,322.753,157.552,667.872,358.576,1.27785,616.159,286.674,1.96095,625.981,315.843,45.6289,625.6,313.765,46.4129,613.813,285.476
263.653,316.091,36.8325,321.814,327.376,18.5324,292.831,509.255,93.7142,286.953,447.024,73.3632,323.116,448.086,34.8231,318.175,517.52,52.0526,239.932,585.777,27.5004,306.612,576.672,67.4818,269.624,582.875,157.147,248.842,599.667,203.858,236.331,612.654,246.356,257.715,644.88,236.659,268.418,635.345,194.854,282.299,621.528,147.451,170.355,743.364,341.325,139.478,641.915,322.74,157.546,667.881,358.568,1.27551,616.174,286.666,1.9546,625.99,315.832,45.6223,625.614,313.755,46.479,613.855,285.431
263.647,316.081,36.881,321.812,327.377,18.5324,292.825,509.258,93.7126,286.945,447.021,73.3546,323.106,448.089,34.8213,318.139,517.563,51.9465,239.921,585.774,27.4859,306.603,576.677,67.4759,269.621,582.881,157.143,248.81,599.692,203.838,236.321,612.664,246.346,257.701,644.924,236.641,268.411,635.346,194.848,282.293,621.529,147.447,170.349,743.374,341.316,139.478,641.933,322.73,157.542,667.891,358.559,1.26771,616.219,286.652,1.94878,626.007,315.824,45.6207,625.632,313.746,46.476,613.871,285.421
263.652,316.089,36.8295,321.81,327.379,18.5313,292.822,509.268,93.7038,286.942,447.021,73.353,323.099,448.09,34.8148,318.159,517.516,52.0344,239.909,585.829,27.5157,306.581,576.691,67.4583,269.622,582.884,157.136,248.8,599.703,203.832,236.313,612.685,246.342,257.672,644.959,236.594,268.406,635.349,194.843,282.274,621.522,147.417,170.343,743.382,341.309,139.473,641.943,322.721,157.532,667.896,358.542,1.26135,616.243,286.641,1.93661,626.024,315.803,45.6188,625.646,313.734,46.4763,613.89,285.41
263.651,316.09,36.8263,321.808,327.381,18.528,292.816,509.271,93.6989,286.936,447.018,73.3459,323.091,448.094,34.8119,318.143,517.539,51.9131,239.899,585.834,27.5104,306.567,576.695,67.4483,269.617,582.892,157.133,248.793,599.721,203.815,236.309,612.698,246.332,257.665,644.974,236.582,268.401,635.351,194.839,282.269,621.523,147.414,170.306,743.415,341.287,139.458,641.969,322.698,157.529,667.903,358.533,1.26568,616.265,286.617,1.94476,626.037,315.792,45.6117,625.659,313.72,46.4779,613.928,285.399
